ID,ax,ay,bx,by,cx,cy,dx,dy
2,16.439983,128.23999,460.07996,214.43999,449.87997,448.07996,61.639984,560.07996
1,495.63998,216.63998,784.07996,176.43999,748.27997,500.27997,494.24,444.67996
3,340.63998,600.24,585.07996,549.64,759.87994,657.07996,431.24,772.07996
